n_commits,nome,localidade
2,DanielTao,
2,DaveHall,
2,DavidChorpash,
2,DavidFoster,
2,DavidSeddon,
2,DavidWiniecki,
2,DavideCeretti,
2,DemurNodia,
2,DmitryShachnev,
2,DominiqueBischof,
2,DonKirkby,
2,DougBeck,
2,Dulmandakh,
2,DylanVerheul,
2,EbramShehata,
2,EdisonWang,
2,EdwardHenderson,
2,EgidijusMacijauskas,
2,ElianaRosselli,
2,EmilStenström,
2,EmreYilmaz,
2,EricBoersma,
2,EricPalakovichCarr,
2,EricTheise,
2,ErikCederstrand,
2,EvanGrim,
2,F.Malina,
2,FabioBonelli,
2,FabioNatali,
2,FedericoBond,
2,FedericoCapoano,
2,FedericoFrenguelli,
2,FilipaAndrade,
2,FlorianPerucki,
2,Fredrik,
2,GabrielAugendre,
2,GaganDeep,
2,GavO'Connor,
2,GeorgeSong,
2,George-CristianBîrzan,
2,GilbertoGonçalves,
2,GildardoAdrianMaravillaJacome,
2,GirishSontakke,
2,GordonPendleton,
2,GregBrown,
2,GregKaleka,
2,GregTwohig,
2,GregorGärtner,
2,GregorJerše,
2,GrzegorzRożniecki,
2,GuilhermeMartinsCrocetti,
2,Harry,
2,HeathHenley,
2,HelenST,
2,HelenSherwood-Taylor,
2,HirokiKIYOHARA,
2,HirokiKiyohara,
2,HollyBecker,
2,HugoCachitas,
2,IchlasulAffan,
2,IkkoAshimine,
2,InvalidInterrupt,
2,IonAlberdi,
2,IonScerbatiuc,
2,IvorBosloper,
2,JackAitken,
2,JakubWilk,
2,JanPazdziora,
2,JannisVajen,
2,JavedKhan,
2,JavierMansilla,
2,JayCox,
2,JayPatel,
2,Jeff,
2,JeffWillette,
2,JensenCochran,
2,JeremyBowman,
2,JeremyThompson,
2,JiangHaiyun,
2,JimmyAngelakos,
2,JohnBowen,
2,JohnMoses,
2,JohnPaulett,
2,JonLønne,
2,JonasLundberg,
2,JorgeBastida,
2,JosephVictorZammit,
2,JoshSantos,
2,JoshuaCannon,
2,JoshuaKehn,
2,JoshuaMassover,
2,JoshuaPereyda,
2,JoshuaPhillips,
2,JoséL.Patiño,
2,JoséPadilla,
2,JuanPedroFisanotti,
2,JulianBez,
2,JureSlak,
2,JustinHamade,
2,KaiRichardKoenig,
2,KamilTurek,
2,KarlHobley,
2,KarolSikora,
2,KathrynKillebrew,
2,Kaustubh,
2,Keda87,
2,KeithEdmiston,
2,KenWhitesell,
2,Kenneth,
2,KevanSwanberg,
2,KonradHałas,
2,KostochkoDmitriy,
2,LarryBrid,
2,LeeReilly,
2,Leila20,
2,Leo,
2,LeviGross,
2,Ling-XiaoYang,
2,LorenzoPeña,
2,LucasConnors,
2,Lucidiot,
2,LudwikTrammer,
2,LuisDelGiudice,
2,LukaszBalcerzak,
2,MSomerville,
2,MacChapman,
2,MalteBeckmann,
2,ManavAgarwal,
2,MarcinBiernat,
2,MarcinSokół,
2,MarekWywiał,
2,MarianoRezk,
2,MarkGensler,
2,MarkLavin,
2,MarkWalker,
2,MathijsdeBruin,
2,MatjazGregoric,
2,MattJohnson,
2,MattSeymour,
2,MattStevens,
2,MattWiens,
